真实标签	预测标签	置信度	文件路径
Bengal	Egyptian Mau	0.5068	Bengal_139.jpg
American Bulldog	Staffordshire Bull Terrier	0.6407	american_bulldog_91.jpg
Maine Coon	Bengal	0.4687	Maine_Coon_69.jpg
Russian Blue	Abyssinian	0.5956	Russian_Blue_216.jpg
Birman	Ragdoll	0.9457	Birman_138.jpg
Wheaten Terrier	Scottish Terrier	0.1582	wheaten_terrier_88.jpg
Egyptian Mau	Bengal	0.3767	Egyptian_Mau_101.jpg
Shiba Inu	Basset Hound	0.2842	shiba_inu_162.jpg
Bengal	Egyptian Mau	0.3998	Bengal_161.jpg
Persian	Bombay	0.7800	Persian_228.jpg
Boxer	Sphynx	0.2346	boxer_135.jpg
Ragdoll	Siamese	0.8136	Ragdoll_235.jpg
Newfoundland	Leonberger	0.3731	newfoundland_17.jpg
Basset Hound	Beagle	0.4832	basset_hound_64.jpg
Staffordshire Bull Terrier	Miniature Pinscher	0.3612	staffordshire_bull_terrier_56.jpg
Basset Hound	Beagle	0.5429	basset_hound_50.jpg
Egyptian Mau	Bengal	0.9125	Egyptian_Mau_214.jpg
Chihuahua	Miniature Pinscher	0.7873	chihuahua_192.jpg
Beagle	Basset Hound	0.2599	beagle_181.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.8288	american_pit_bull_terrier_89.jpg
Staffordshire Bull Terrier	Boxer	0.2362	staffordshire_bull_terrier_160.jpg
Russian Blue	British Shorthair	0.4505	Russian_Blue_196.jpg
Chihuahua	American Pit Bull Terrier	0.5093	chihuahua_179.jpg
Miniature Pinscher	American Pit Bull Terrier	0.3723	miniature_pinscher_176.jpg
Abyssinian	Miniature Pinscher	0.1242	Abyssinian_205.jpg
Russian Blue	Chihuahua	0.3598	Russian_Blue_67.jpg
Egyptian Mau	Bengal	0.9166	Egyptian_Mau_84.jpg
Bengal	Egyptian Mau	0.4282	Bengal_165.jpg
Egyptian Mau	Bengal	0.7572	Egyptian_Mau_28.jpg
Shiba Inu	Samoyed	0.4739	shiba_inu_205.jpg
Russian Blue	British Shorthair	0.8445	Russian_Blue_106.jpg
Birman	Ragdoll	0.5582	Birman_101.jpg
Ragdoll	Persian	0.3173	Ragdoll_170.jpg
American Bulldog	Boxer	0.4183	american_bulldog_54.jpg
Chihuahua	Miniature Pinscher	0.7588	chihuahua_31.jpg
Russian Blue	British Shorthair	0.6238	Russian_Blue_264.jpg
British Shorthair	Egyptian Mau	0.6461	British_Shorthair_239.jpg
