真实标签	预测标签	置信度	文件路径
Bengal	Egyptian Mau	0.5658	Bengal_139.jpg
American Bulldog	Staffordshire Bull Terrier	0.7209	american_bulldog_91.jpg
Chihuahua	Miniature Pinscher	0.4994	chihuahua_149.jpg
Maine Coon	Bengal	0.4507	Maine_Coon_69.jpg
Russian Blue	Maine Coon	0.3334	Russian_Blue_216.jpg
Birman	Ragdoll	0.9977	Birman_138.jpg
British Shorthair	Russian Blue	0.5782	British_Shorthair_32.jpg
Wheaten Terrier	English Cocker Spaniel	0.3015	wheaten_terrier_88.jpg
Shiba Inu	Miniature Pinscher	0.4463	shiba_inu_162.jpg
Bengal	Egyptian Mau	0.6804	Bengal_161.jpg
Persian	Bombay	0.8638	Persian_228.jpg
Ragdoll	Siamese	0.9858	Ragdoll_235.jpg
Egyptian Mau	Bengal	0.9370	Egyptian_Mau_214.jpg
Chihuahua	Miniature Pinscher	0.7288	chihuahua_192.jpg
Beagle	Shiba Inu	0.2661	beagle_181.jpg
American Pit Bull Terrier	German Shorthaired	0.3966	american_pit_bull_terrier_89.jpg
Staffordshire Bull Terrier	Boxer	0.4886	staffordshire_bull_terrier_160.jpg
Keeshond	Leonberger	0.8959	keeshond_130.jpg
English Cocker Spaniel	English Setter	0.4870	english_cocker_spaniel_123.jpg
Abyssinian	Chihuahua	0.2747	Abyssinian_205.jpg
Egyptian Mau	Bengal	0.8803	Egyptian_Mau_84.jpg
Bengal	Abyssinian	0.6047	Bengal_165.jpg
American Bulldog	English Setter	0.7149	american_bulldog_8.jpg
Russian Blue	British Shorthair	0.3274	Russian_Blue_106.jpg
Birman	Ragdoll	0.6443	Birman_101.jpg
Ragdoll	Persian	0.5955	Ragdoll_170.jpg
American Bulldog	Boxer	0.9806	american_bulldog_54.jpg
Scottish Terrier	Havanese	0.6608	scottish_terrier_186.jpg
English Cocker Spaniel	English Setter	0.4860	english_cocker_spaniel_52.jpg
Siamese	Birman	0.5582	Siamese_63.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.9041	american_pit_bull_terrier_43.jpg
Chihuahua	Miniature Pinscher	0.7656	chihuahua_31.jpg
Russian Blue	British Shorthair	0.6494	Russian_Blue_264.jpg
British Shorthair	Egyptian Mau	0.4577	British_Shorthair_239.jpg
Maine Coon	Leonberger	0.4036	Maine_Coon_33.jpg
Maine Coon	Persian	0.6346	Maine_Coon_127.jpg
American Bulldog	Staffordshire Bull Terrier	0.8728	american_bulldog_15.jpg
Chihuahua	Miniature Pinscher	0.6340	chihuahua_166.jpg
American Pit Bull Terrier	Chihuahua	0.4480	american_pit_bull_terrier_167.jpg
American Pit Bull Terrier	German Shorthaired	0.6817	american_pit_bull_terrier_88.jpg
American Pit Bull Terrier	Chihuahua	0.5211	american_pit_bull_terrier_190.jpg
American Pit Bull Terrier	Miniature Pinscher	0.3154	american_pit_bull_terrier_121.jpg
American Bulldog	American Pit Bull Terrier	0.6307	american_bulldog_43.jpg
Ragdoll	Siamese	0.6532	Ragdoll_228.jpg
Staffordshire Bull Terrier	Boxer	0.8346	staffordshire_bull_terrier_5.jpg
Birman	Siamese	0.5051	Birman_55.jpg
Beagle	American Pit Bull Terrier	0.4107	beagle_70.jpg
English Setter	German Shorthaired	0.3354	english_setter_8.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.9897	american_pit_bull_terrier_32.jpg
